Model Name,GPU Type,Input Token Length,Batch Size,Avg Power (W)
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,4,32,249.96747540160572
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,8,32,259.48846536144515
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,16,32,290.30371234939713
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,32,32,292.8429819277108
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,64,32,296.0667715863457
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,128,32,300.19988253012065
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,256,32,300.180015562249
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,512,32,297.3312183734939
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,1024,32,296.72534337349396
BAAI/bge-large-en,NVIDIA RTX 6000 Ada Generation,2048,32,250.51287600401594
