Sample nprobe,Deep nprobe,Batch Size,Retrieved Docs,Clusters Searched,Avg Hermes Retrieval Latency (s),Avg Hermes Throughput (QPS)
8,128,32,5,1,0.11110008387278018,288.0285854387198
8,128,32,5,2,0.12103660395327348,264.38283093562086
8,128,32,5,3,0.12954082258301391,247.02637641113768
8,128,32,5,4,0.13487871063029677,237.25019204633534
8,128,32,5,5,0.14312242750365192,223.58480468886322
8,128,32,5,6,0.15466323351431036,206.90114433071886
8,128,32,5,7,0.16347459362650343,195.7490720124474
8,128,32,5,8,0.16460016747865222,194.41049477759634
8,128,32,5,9,0.1646091947770841,194.39983315230242
8,128,32,5,10,0.1646091947770841,194.39983315230242
8,128,64,5,1,0.129392123122282,494.6205260077294
8,128,64,5,2,0.14961948555680135,427.75177151443364
8,128,64,5,3,0.19376595535014646,330.29538075637817
8,128,64,5,4,0.2354335580572615,271.8389023557725
8,128,64,5,5,0.24899874092260257,257.02941212820593
8,128,64,5,6,0.2642709259395994,242.17571332318093
8,128,64,5,7,0.2925790874041532,218.74427378876123
8,128,64,5,8,0.367460320046709,174.16846529678298
8,128,64,5,9,0.44953667502654243,142.36880671909847
8,128,64,5,10,0.4501645105850849,142.170247754134
